row_id,order_id,order_date,ship_date,ship_mode,customer_id,customer_name,segment,country,city,product_id,product_name,quantity,sales_amount
54,ORD1741,12-10-2024,20-10-2024,Same Day,CUST1721,Anjali Taylor,Home Office,UK,Berlin,P1003,Mouse,8,2206.09
55,ORD2497,29-08-2024,03-09-2024,Second Class,CUST1354,David Gupta,Consumer,Canada,Toronto,P1006,Printer,6,192.06
56,ORD1665,06-07-2023,14-07-2023,First Class,CUST2058,Emily Wilson,Home Office,UK,Mumbai,P1004,Monitor,9,4742.91
57,,05-09-2023,12-09-2023,Second Class,CUST2950,Sneha Gupta,Corporate,India,Pune,P1008,SSD,5,1146.9
58,ORD2416,07-09-2023,12-09-2023,Same Day,CUST3267,Amit Patel,Corporate,Germany,London,P1006,Printer,6,3529.13
59,ORD1554,10-11-2023,15-11-2023,Standard Class,CUST1788,Emily Johnson,Home Office,Germany,Delhi,P1004,Monitor,4,1121.1
60,ORD1991,11-10-2023,21-10-2023,Standard Class,CUST1795,David Davis,Corporate,USA,New York,P1005,Headphones,1,3554.69
61,ORD1259,08-10-2023,09-10-2023,First Class,CUST1517,Sneha Gupta,Consumer,India,New York,P1001,Laptop,8,2419.64
62,ORD1697,08-07-2023,09-07-2023,Same Day,CUST1467,Daniel Johnson,Corporate,Canada,Pune,P1005,Headphones,10,3165.76
63,ORD1109,05-06-2023,08-06-2023,Standard Class,CUST2016,Jane Taylor,Corporate,Germany,Bangalore,P1005,Headphones,9,1932.87
64,ORD1906,01-11-2023,11-11-2023,First Class,CUST3329,Rahul Smith,Home Office,India,Bangalore,P1007,Router,4,1360
65,ORD1166,10-06-2023,14-06-2023,Standard Class,CUST1641,John Sharma,Corporate,Germany,Berlin,P1003,Mouse,5,211.57
66,ORD1590,24-12-2024,29-12-2024,Standard Class,CUST1956,Olivia Wilson,Home Office,Germany,Bangalore,P1008,SSD,7,618.14
67,ORD1460,25-10-2024,28-10-2024,Second Class,CUST1292,John Brown,Corporate,Germany,New York,P1005,Headphones,8,665.55
68,ORD2410,08-11-2023,15-11-2023,Same Day,CUST2793,Jane Miller,Consumer,Canada,London,P1005,Headphones,10,1289.32
69,ORD1187,23-08-2023,02-09-2023,First Class,CUST3360,John Brown,Corporate,Germany,Berlin,P1001,Laptop,5,948.37
70,ORD2198,22-03-2024,30-03-2024,Same Day,CUST2425,Robert Patel,Corporate,India,Delhi,P1002,Keyboard,6,2087.64
71,ORD2014,23-10-2023,30-10-2023,Same Day,CUST1360,Emily Wilson,Corporate,India,Toronto,P1001,Laptop,9,4133.39
72,ORD1002,04-11-2024,13-11-2024,Same Day,CUST1222,Sarah Taylor,Corporate,Germany,Berlin,P1008,SSD,8,3811.95
73,ORD1416,01-10-2023,10-10-2023,First Class,CUST2794,Olivia Gupta,Consumer,India,Bangalore,P1003,Mouse,3,1588.21
74,ORD1028,19-07-2024,26-07-2024,Second Class,CUST1464,Priya Johnson,Home Office,USA,Berlin,P1002,Keyboard,5,2568.92
75,ORD1559,01-03-2024,09-03-2024,Second Class,CUST2870,,Corporate,USA,Delhi,P1008,SSD,2,1417.42
76,ORD1849,15-12-2023,24-12-2023,Standard Class,CUST2158,Anjali Wilson,Home Office,Germany,Berlin,P1005,Headphones,3,2260.41
77,ORD1991,20-12-2023,26-12-2023,Same Day,CUST2318,Daniel Davis,Home Office,USA,Toronto,,Router,4,4287.26
78,ORD1841,14-02-2023,20-02-2023,Same Day,CUST2581,Sneha Brown,Corporate,India,Delhi,P1008,SSD,9,4828.5
79,ORD1679,09-06-2025,11-06-2025,Standard Class,CUST3154,Olivia Gupta,Consumer,USA,Toronto,P1008,SSD,3,420.4
80,ORD1542,13-12-2023,23-12-2023,Standard Class,CUST2345,Daniel Taylor,Corporate,UnknownCountry,Berlin,P1007,Router,9,227.7
81,ORD1140,29-08-2023,03-09-2023,Standard Class,CUST2777,Jane Johnson,Corporate,USA,New York,P1004,Monitor,1,277.66
82,ORD1114,28-10-2023,03-11-2023,Same Day,CUST1596,Sarah Taylor,Corporate,Germany,Delhi,P1006,Printer,3,916.59
83,ORD2248,10-06-2025,17-06-2025,Same Day,CUST3388,Michael Davis,Corporate,UK,Berlin,P1004,Monitor,5,3350.86
84,ORD1952,22-10-2023,31-10-2023,Standard Class,CUST2809,Emily Miller,Corporate,Canada,New York,P1003,Mouse,8,4234.25
85,ORD1407,29-01-2024,06-02-2024,Second Class,CUST2562,Rahul Patel,Home Office,UK,New York,P1002,Keyboard,1,4890.83
86,ORD2348,10-02-2024,15-02-2024,Standard Class,CUST3483,Anjali Gupta,Corporate,USA,London,P1001,Laptop,4,3201.26
87,ORD2271,14-09-2023,17-09-2023,Standard Class,CUST2265,Chris Gupta,Consumer,Germany,London,P1002,Keyboard,3,496.16
88,ORD1604,01-12-2023,08-12-2023,Second Class,CUST1541,Chris Taylor,Corporate,Germany,New York,P1003,Mouse,3,1322
89,ORD1986,05-04-2025,10-04-2025,Standard Class,CUST2918,Jane Brown,Consumer,Canada,London,P1006,Printer,2,3963.88
90,ORD1028,28-09-2023,07-10-2023,Same Day,CUST2509,Sneha Wilson,Home Office,Canada,London,P1002,Keyboard,2,3390.44
91,ORD1965,26-01-2023,05-02-2023,Second Class,CUST1258,Sneha Gupta,Home Office,UK,Toronto,P1006,Printer,2,741.9
92,ORD1076,08-11-2023,16-11-2023,Standard Class,CUST1961,Olivia Taylor,Consumer,Canada,Berlin,P1002,Keyboard,6,3368.91
93,ORD2426,07-07-2024,14-07-2024,Same Day,CUST1405,Daniel Gupta,Home Office,Canada,New York,P1003,Mouse,1,3466.89
94,ORD1444,30-03-2024,07-04-2024,First Class,CUST1406,Sneha Patel,Home Office,UK,Mumbai,P1004,Monitor,7,1415.61
95,ORD1250,18-05-2025,26-05-2025,Second Class,CUST3445,John Smith,Corporate,USA,Delhi,P1002,Keyboard,10,1065.77
96,ORD2135,01-08-2023,11-08-2023,Second Class,CUST2345,Chris Brown,Home Office,India,New York,P1004,Monitor,3,4938.26
97,ORD2106,14-09-2023,17-09-2023,Standard Class,CUST1539,John Patel,Consumer,Germany,London,P1002,Keyboard,1,912.52
98,ORD1107,10-05-2023,17-05-2023,Standard Class,CUST2950,Priya Patel,Home Office,Germany,Pune,P1002,Keyboard,8,2544
99,ORD2259,14-02-2023,23-02-2023,Same Day,CUST1127,John Gupta,Corporate,Canada,Pune,P1005,Headphones,8,3576.39
100,ORD1908,17-03-2023,19-03-2023,Second Class,CUST1269,Michael Wilson,Home Office,Germany,London,P1006,Printer,7,4973.41
101,ORD2086,29-10-2023,06-11-2023,Standard Class,CUST1468,,Home Office,USA,Toronto,P1007,Router,8,4446.05
102,ORD1847,14-12-2023,22-12-2023,Same Day,CUST1389,Emily Sharma,Corporate,UK,London,P1007,Router,3,3449.76
103,ORD1971,10-03-2023,12-03-2023,Standard Class,CUST2768,Jane Patel,Consumer,Germany,Mumbai,P1002,Keyboard,10,4785.29
104,ORD2150,04-12-2023,06-12-2023,First Class,CUST2732,Daniel Smith,Corporate,Germany,New York,,Router,6,562.82
105,ORD2039,06-08-2023,09-08-2023,Second Class,CUST1443,Emily Taylor,Corporate,India,New York,P1008,SSD,10,1169.49
106,ORD1878,15-05-2025,24-05-2025,First Class,CUST1118,Michael Wilson,Home Office,UK,London,P1001,Laptop,6,80.22
107,ORD1293,02-08-2024,09-08-2024,Second Class,CUST1125,Jane Taylor,Consumer,Canada,Toronto,P1002,Keyboard,8,1737.44
108,ORD1757,16-11-2023,22-11-2023,Standard Class,CUST1637,Michael Miller,Consumer,India,New York,P1002,Keyboard,8,3326.6
109,ORD1994,13-09-2024,21-09-2024,First Class,CUST1882,Chris Taylor,Consumer,UK,Toronto,P1007,Router,2,1452.07
110,ORD2389,30-08-2024,07-09-2024,Standard Class,CUST1903,Robert Miller,Consumer,India,Bangalore,P1005,Headphones,5,4729.35
111,ORD1281,21-02-2025,26-02-2025,First Class,CUST1491,John Gupta,Home Office,Canada,Delhi,P1005,Headphones,3,1932.03
112,ORD2441,24-08-2023,02-09-2023,Standard Class,CUST2626,Daniel Smith,Corporate,India,Berlin,P1006,Printer,2,4317.44
113,ORD2179,15-03-2024,25-03-2024,Same Day,CUST2185,Jane Sharma,Consumer,UK,Delhi,P1007,Router,10,2327.48
114,ORD2412,06-01-2024,08-01-2024,Standard Class,CUST1996,Robert Miller,Corporate,Germany,Pune,P1007,Router,7,4359.1
115,ORD1695,15-08-2023,21-08-2023,Standard Class,CUST3090,Sneha Johnson,Home Office,Germany,Bangalore,P1003,Mouse,6,1787.94
116,ORD2321,14-04-2025,01-01-2022,Standard Class,CUST1599,David Davis,Consumer,Germany,Delhi,P1004,Monitor,2,926.87
117,ORD2286,20-05-2024,28-05-2024,First Class,CUST2294,Michael Gupta,Consumer,Canada,Berlin,P1008,SSD,5,3991.83
118,ORD2211,27-02-2023,05-03-2023,First Class,CUST2891,Priya Smith,Consumer,UK,New York,P1002,Keyboard,2,3241.1
119,ORD1184,21-09-2024,01-10-2024,Same Day,CUST3377,Amit Smith,Corporate,Germany,Bangalore,P1007,Router,6,3044.78
120,ORD2026,04-06-2023,05-06-2023,Standard Class,CUST2406,Anjali Johnson,Home Office,USA,Mumbai,P1008,SSD,4,3552.73
121,ORD1899,20-06-2024,29-06-2024,First Class,CUST2527,Olivia Wilson,Corporate,Canada,London,P1003,Mouse,10,309.21
122,ORD2292,24-10-2024,30-10-2024,First Class,CUST1387,Amit Sharma,Corporate,UK,Delhi,P1002,Keyboard,6,453.43
123,ORD2359,25-05-2023,31-05-2023,Same Day,CUST1528,Rahul Johnson,Corporate,Germany,Toronto,P1005,Headphones,6,4075.26
124,ORD2372,20-12-2024,29-12-2024,Same Day,CUST3082,Emily Smith,Corporate,UK,Delhi,P1002,Keyboard,4,1741.58
125,ORD1995,16-07-2023,20-07-2023,Second Class,CUST1316,David Johnson,Home Office,Germany,Mumbai,P1003,Mouse,6,4388.14
126,ORD2265,15-05-2023,25-05-2023,Second Class,CUST1664,Michael Miller,Consumer,Canada,Mumbai,P1007,Router,7,1853.28
127,ORD2473,01-09-2023,09-09-2023,Same Day,CUST1958,Amit Davis,Corporate,Canada,Bangalore,P1005,Headphones,6,3407.62
128,ORD2168,27-03-2024,04-04-2024,Same Day,CUST3059,Amit Sharma,Consumer,USA,Delhi,P1005,Headphones,5,308.29
129,ORD1984,14-06-2025,20-06-2025,Standard Class,CUST2167,Jane Brown,Corporate,Canada,Delhi,P1002,Keyboard,7,503.98
130,ORD1454,16-04-2025,24-04-2025,Standard Class,CUST2699,John Sharma,Home Office,UK,Bangalore,P1006,Printer,7,4972.9
131,ORD1767,18-08-2023,19-08-2023,Standard Class,CUST2373,Chris Brown,Consumer,India,New York,P1006,Printer,8,3495.56
132,ORD1284,16-02-2025,24-02-2025,Standard Class,CUST1324,John Wilson,Consumer,USA,Toronto,P1008,SSD,2,3892.05
133,ORD1486,05-11-2023,07-11-2023,Second Class,CUST2719,Sneha Miller,Corporate,India,Pune,P1001,Laptop,8,3003.86
134,ORD1033,09-10-2024,18-10-2024,Second Class,CUST2193,Robert Smith,Home Office,UK,Bangalore,P1004,Monitor,10,2112.01
135,ORD2360,15-11-2024,17-11-2024,Standard Class,CUST3154,Amit Taylor,Home Office,Germany,Mumbai,P1006,Printer,7,4372.99
136,ORD1089,12-10-2024,19-10-2024,First Class,CUST1066,Emily Johnson,Corporate,USA,Pune,P1006,Printer,10,3689.18
137,ORD1680,17-05-2023,18-05-2023,First Class,CUST1717,Daniel Gupta,Home Office,Canada,Delhi,P1006,Printer,3,362.35
138,ORD1937,07-02-2023,12-02-2023,Standard Class,CUST1817,Olivia Smith,Corporate,UK,Toronto,P1004,Monitor,9,2393.33
139,ORD1074,10-02-2025,14-02-2025,First Class,CUST1195,Daniel Patel,Corporate,India,London,P1005,Headphones,7,4452.96
140,ORD1900,31-01-2024,06-02-2024,Same Day,CUST3037,Emily Taylor,Corporate,India,Toronto,P1003,Mouse,2,2181.51
141,ORD1369,12-07-2024,17-07-2024,Standard Class,CUST1327,Emily Wilson,Corporate,Canada,Toronto,P1006,Printer,3,3464.34
142,ORD1719,02-04-2024,03-04-2024,Same Day,CUST2124,Sneha Smith,Consumer,Canada,London,,Printer,9,4015.43
143,ORD2391,13-06-2023,14-06-2023,Same Day,CUST1142,Michael Johnson,Consumer,UK,London,P1003,Mouse,7,4749.86
144,ORD1066,11-09-2024,14-09-2024,First Class,CUST2523,Priya Johnson,Home Office,USA,London,P1008,SSD,7,1606.21
145,ORD1570,13-09-2023,15-09-2023,Second Class,CUST3044,Amit Sharma,Home Office,India,New York,P1001,Laptop,5,3534.99
146,ORD1439,18-09-2024,23-09-2024,Second Class,CUST1502,Michael Johnson,Corporate,USA,Berlin,P1008,SSD,2,4062.04
147,ORD1654,14-11-2024,20-11-2024,First Class,CUST2228,Daniel Brown,Home Office,USA,London,P1002,Keyboard,9,1160
148,ORD1411,22-03-2025,25-03-2025,Same Day,CUST1107,Emily Taylor,Home Office,UK,Berlin,P1004,Monitor,9,692.37
149,ORD1176,09-03-2023,14-03-2023,Same Day,CUST3153,Robert Sharma,Home Office,India,Delhi,P1007,Router,6,3229.58
150,ORD1921,22-04-2024,01-05-2024,Second Class,CUST3258,Sneha Miller,Consumer,USA,Toronto,P1006,Printer,9,4558.03
151,ORD1113,01-05-2025,03-05-2025,First Class,CUST1674,Michael Patel,Home Office,USA,London,P1003,Mouse,9,4479.88
152,ORD1161,14-09-2023,18-09-2023,Second Class,CUST2240,Rahul Taylor,Consumer,Germany,Delhi,P1005,Headphones,10,4710.95
153,ORD1315,25-06-2023,05-07-2023,Standard Class,CUST1116,Jane Smith,Home Office,Germany,New York,P1006,Printer,4,3846.45
154,ORD1853,24-09-2024,25-09-2024,First Class,CUST2237,Priya Davis,Home Office,Canada,New York,P1008,SSD,8,411.22
155,ORD1122,11-06-2023,19-06-2023,Same Day,CUST2902,Sarah Patel,Home Office,USA,London,P1007,Router,6,3684.29
156,ORD1707,13-02-2024,16-02-2024,Standard Class,CUST2307,Sarah Gupta,Consumer,UK,Berlin,P1006,Printer,4,-100
157,ORD1103,25-10-2023,01-11-2023,Second Class,CUST1654,Daniel Patel,Home Office,UK,Bangalore,P1007,Router,3,2516.41
158,ORD2054,23-04-2024,01-05-2024,Same Day,CUST1094,Jane Sharma,Home Office,Canada,Bangalore,P1005,Headphones,4,2937.55
159,ORD1099,21-02-2023,26-02-2023,Same Day,CUST2170,Amit Smith,Consumer,Canada,Delhi,P1008,SSD,5,3651.16
160,ORD1825,10-01-2024,11-01-2024,Standard Class,CUST3335,Amit Davis,Corporate,Germany,New York,P1007,Router,2,1962.43
161,ORD1922,21-02-2025,02-03-2025,Standard Class,CUST1527,Jane Sharma,Corporate,UK,London,P1005,Headphones,3,1035.34
162,ORD2042,16-02-2024,25-02-2024,Standard Class,CUST1159,Michael Patel,Corporate,Germany,Berlin,P1001,Laptop,3,3050.99
163,ORD2055,24-05-2023,30-05-2023,Second Class,CUST2609,Rahul Wilson,Home Office,UK,Berlin,P1006,Printer,10,1533.96
164,ORD1034,13-01-2024,19-01-2024,Same Day,CUST3390,David Smith,Home Office,Canada,New York,P1002,Keyboard,10,2909.29
165,ORD2477,22-02-2023,04-03-2023,Second Class,CUST3147,Sneha Miller,Corporate,USA,Bangalore,P1008,SSD,1,2884.22
166,ORD2434,23-04-2023,27-04-2023,Same Day,CUST2284,Robert Brown,Corporate,USA,Toronto,P1001,Laptop,9,3886.11
167,ORD1965,12-06-2025,13-06-2025,Second Class,CUST3297,Emily Gupta,Home Office,Canada,London,P1003,Mouse,3,2325.33
168,ORD2091,17-12-2023,26-12-2023,First Class,CUST3498,Priya Davis,Consumer,UK,New York,P1006,Printer,4,4710.35
169,ORD1609,28-02-2025,05-03-2025,Same Day,CUST2298,Priya Patel,Home Office,UK,New York,P1004,Monitor,2,2888.71
170,ORD2112,24-01-2024,31-01-2024,Second Class,CUST2189,John Wilson,Home Office,India,London,P1006,Printer,8,3297.06
171,ORD1981,08-08-2023,12-08-2023,First Class,CUST1562,Jane Miller,Home Office,Germany,Bangalore,P1005,Headphones,4,301.29
172,ORD2087,20-08-2023,24-08-2023,Standard Class,CUST2692,Emily Gupta,Consumer,USA,Mumbai,P1001,Laptop,9,4890.66
173,ORD1323,21-02-2024,29-02-2024,Second Class,CUST2176,Emily Wilson,Home Office,India,Pune,P1008,SSD,10,1199.49
174,ORD2480,20-05-2025,21-05-2025,Same Day,CUST1720,Olivia Smith,Corporate,Canada,Delhi,P1003,Mouse,5,4389.88
175,ORD1018,02-11-2023,12-11-2023,First Class,CUST2165,Priya Taylor,Home Office,Canada,Delhi,P1002,Keyboard,9,2366.7
176,ORD1394,08-04-2025,10-04-2025,Second Class,CUST2879,Sneha Wilson,Home Office,USA,Mumbai,P1006,Printer,6,3964.3
177,ORD2162,21-11-2024,25-11-2024,Same Day,CUST2751,Amit Patel,Consumer,Canada,Pune,P1003,Mouse,3,4909.34
178,ORD1977,28-11-2023,02-12-2023,First Class,CUST2571,Sarah Gupta,Corporate,UK,New York,P1001,Laptop,10,3628.27
179,ORD1023,25-09-2023,01-10-2023,Standard Class,CUST1484,Priya Wilson,Consumer,Canada,New York,P1004,Monitor,2,3211.62
180,ORD1604,12-01-2024,22-01-2024,Second Class,CUST1547,Priya Brown,Corporate,Germany,London,P1004,Monitor,7,3524.61
181,ORD1964,14-02-2025,23-02-2025,Second Class,CUST3440,Daniel Johnson,Home Office,Canada,London,P1004,Monitor,2,4590.36
182,ORD1229,31-12-2099,14-03-2023,Second Class,CUST1673,Emily Taylor,Corporate,India,Bangalore,P1004,Monitor,10,2469.7
183,ORD2045,01-04-2024,02-04-2024,Second Class,CUST3102,Robert Gupta,Home Office,India,Berlin,P1008,SSD,5,3630.24
184,ORD1810,18-09-2023,19-09-2023,Standard Class,CUST1185,Robert Patel,Home Office,India,Mumbai,P1004,Monitor,2,4931.38
185,ORD1966,02-02-2023,07-02-2023,Second Class,CUST1554,Chris Sharma,Corporate,Canada,Berlin,P1007,Router,7,1909.45
186,ORD2398,08-11-2024,17-11-2024,First Class,CUST1485,Michael Taylor,Corporate,Germany,Delhi,P1003,Mouse,4,4182.37
187,ORD1046,02-11-2023,10-11-2023,Same Day,CUST1940,Sarah Gupta,Corporate,USA,New York,P1007,Router,4,4690.18
188,ORD2484,22-02-2025,24-02-2025,Same Day,CUST1064,Sarah Davis,Consumer,India,Mumbai,P1001,Laptop,8,3009.04
189,ORD2440,12-06-2025,13-06-2025,Standard Class,CUST2647,Priya Davis,Home Office,USA,Mumbai,P1004,Monitor,3,2544.28
190,ORD1592,28-08-2023,07-09-2023,First Class,CUST1970,David Brown,Home Office,Germany,Bangalore,P1006,Printer,7,1537.48
191,ORD1124,24-07-2024,03-08-2024,Same Day,CUST3276,Priya Smith,Corporate,Canada,London,P1003,Mouse,7,2070.88
192,ORD1614,21-01-2024,24-01-2024,Second Class,CUST1923,David Brown,Corporate,India,Toronto,P1008,SSD,7,2808.57
193,ORD1274,02-02-2024,06-02-2024,Second Class,CUST2352,Sneha Johnson,Corporate,UK,Pune,P1005,Headphones,9,3636.69
194,ORD1390,22-02-2023,27-02-2023,Standard Class,CUST1298,Sarah Miller,Home Office,Germany,Bangalore,P1007,Router,8,1084
195,ORD1681,07-11-2023,08-11-2023,Second Class,CUST1480,Anjali Gupta,Consumer,Germany,Bangalore,P1004,Monitor,7,4579.88
196,ORD2130,26-11-2023,01-12-2023,Same Day,CUST3185,Sneha Patel,Corporate,UK,London,P1007,Router,9,4419.92
197,ORD1954,11-04-2023,19-04-2023,Second Class,CUST2518,Emily Sharma,Consumer,Germany,Bangalore,P1006,Printer,3,130.29
198,ORD2133,21-08-2024,31-08-2024,First Class,CUST1624,Sarah Patel,Consumer,Canada,Bangalore,P1007,Router,8,2775.68
199,ORD2402,12-12-2023,17-12-2023,Same Day,CUST2887,Michael Patel,Consumer,USA,Berlin,P1008,SSD,3,4588.65
200,ORD2110,19-10-2024,20-10-2024,Standard Class,CUST1198,Chris Smith,Corporate,USA,Bangalore,P1001,Laptop,2,3550.49
201,ORD1018,12-08-2023,21-08-2023,First Class,CUST1247,Rahul Miller,Corporate,Canada,Mumbai,P1008,SSD,1,2684.45
202,ORD1842,13-01-2023,14-01-2023,First Class,CUST1070,Amit Sharma,Consumer,India,Pune,P1005,Headphones,9,787.04
